"","t"
"111","Pushing.myself.beyond.my.comfort.zone.excites.and.better.motivates.me"
"112","Nurturing.and.growing.my.professional.work.is.an.important.part.of.who.I.am"
"113","Persuing.a.creative.or.entrepreneurial.career.is.a.calling.and.should.be.persued.for.its.own.sake"
"114","I.often.have.no.idea.where.my.next.Euros.will.come.from"
"115","It.is.hard.for.me.to.plan.for.large.expenses.as.it.is.difficult.to.predict.what.my.income.will.be.in.any.given.year."
"116","I.often.can.t.predict.when.I.will.get.my.next.paycheck."
"117","I.find.it.difficult.to.stick.to.effective.routines.for.handling.all.the.backoffice.work.that.come.with.my.work"
"118","Sometimes.I.fall.seriously.behind.on.doing.the.necessary.administrative.tasks.to.keep.my.projects.going."
"119","I.sometimes.feel.overwhelmed.by.all.of.the.different.tasks.I.have.to.complete.in.my.work."
"120","I.wear.so.many.professional.hats.that.it.is.sometimes.difficult.to.have.a.clear.sense.of.who.I.am.as.a.professional"
"121","It.is.sometimes.difficult.to.explain.to.others.who.I.am.as.a.professional."
"122","My.life.as.an..independent..professional.can.get.pretty.intense.emotionally."
"123","Working.as.an..independent..professional.is.emotional."
"124","In.my.professional.life..my.emotions.are.all.over.the.place.."
"125","My.professional.life.can.get.lonely"
"126","I.feel.alone.in.my.professional.life..separated.from.mentors.and.colleagues.who.might.help.me"
"127","Sometimes.I.miss.being.part.of.team.when.I.work"
"128","I.don.t.know.where.my.career.might.go.in.the.future"
"129","Where.I.go.from.here.in.my.career.is.very.unclear"
"130","I.m.not.sure.what.kind.of.work.I.ll.be.doing.next.year"
"131","You.made.it.to.the.end."
"132","Start.Date..UTC."
"133","Submit.Date..UTC."
"134","Network.ID"
