"","CWM T0 - BEE EZ 2024 -  Export 20241121 - R=26.csv"
"82","I am motivated to figure out how to make my current work more innovative"
"83","Scanning my surroundings for new work opportunities excites me"
"84","Starting a new business or project excites me"
"85","Having creative freedom energizes me"
"86","Nurturing a new project and making it successful excites me"
"87","Commercializing my work to generate money is important"
"88","I actively seek out the right people to network with in order to build my professional reputation"
"89","Collaborating with others is a part of my work"
"90","Pushing myself beyond my comfort zone excites and better motivates me"
"91","Nurturing and growing my professional work is an important part of who I am"
"92","Pursuing a creative or entrepreneurial career is a calling and should be pursued for its own sake."
"93","I often have no idea where my next Euros will come from"
"94","It is hard for me to plan for large expenses as it is difficult to predict what my income will be in any given year."
"95","I often can’t predict when I will get my next paycheck."
"96","I find it difficult to stick to effective routines for handling all the backoffice work that come with my work"
"97","Sometimes I fall seriously behind on doing the necessary administrative tasks to keep my projects going."
"98","I sometimes feel overwhelmed by all of the different tasks I have to complete in my work."
"99","I wear so many professional hats that it is sometimes difficult to have a clear sense of who I am as a professional"
"100","It is sometimes difficult to explain to others who I am as a professional."
"101","My life as an (independent) professional can get pretty intense emotionally."
"102","Working as an (independent) professional is emotional."
"103","In my professional life, my emotions are all over the place."
"104","My professional life can get lonely"
"105","I feel alone in my professional life, separated from mentors and colleagues who might help me"
"106","Sometimes I miss being part of a team when I work"
"107","I don't know where my career might go in the future"
"108","Where I go from here in my career is very unclear"
"109","I'm not sure what kind of work I'll be doing next year"
"110","As an entrepreneur,  I have sufficient opportunities to benefit from economic growth in the Netherlands.
"
"111","The current economic policies ensure that entrepreneurs from the Afro-diaspora like myself can participate in and benefit from the economy."
"112","I am aware of the instruments and support offered by the Ministry of Economic Affairs (Ministerie van Economische Zaken) to entrepreneurs.

"
"113","I make use of the available government instruments aimed at supporting entrepreneurs.
"
"114","There is untapped entrepreneurial potential within the Afro-diaspora in the Netherlands."
"115","I have experienced barriers that have hindered me in realizing my entrepreneurial ambitions."
"116","There is a cultural distance between my community and the broader Dutch entrepreneurial community.

"
"117","I have felt that I was dealing with (implicit) discrimination in my entrepreneurial activities.


"
"118","I have initiated projects that could help stimulate entrepreneurship within the Afro-diaspora in the Netherlands.

"
"119","I trust the  government to ensure that policies and instruments better align with the needs of entrepreneurs from the Afro-diaspora.
"
"120","I have encountered challenges in hiring employees with a cultural distance from the labor market."
"121","There is sufficient support from the government  that would help overcome these challenges I may face."
"122","Phone number"
"123","You made it to the end!"
"124","Response Type"
"125","Start Date (UTC)"
"126","Stage Date (UTC)"
"127","Submit Date (UTC)"
"128","Network ID"
"129","Tags"
