.id,X.,Heb.je.een.Kamer.van.Koophandel.nummer.,Wat.is.jouw.professionele.titel.,Met.welke.activiteit.verdien.je.het.grootste.deel.van.je.omzet.,Waarom.heb.je.je.aangemeld.voor.dit.programma.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Business.skills..,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Artistieke.skills...,En.hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op..Psychologische.skills..,Is.er.naast.Business..Artistieke.en.Psychologische.skills.nog.een.soort.skills.die.niet.genoemd.is.en.die.je.wel.erg.belangrijk.vindt..,Welke.soort.skills.mis.je.nog.in.de.voorgaande.vragen.en.wil.je.wel.op.focussen.in.de.training.die.je.gaat.doen.,Hoeveel.nadruk.denk.je.dat.er.gaat.worden.gelegd.op...field.81db4bc4.62bf.4021.b511.b9f01866065f....in.de.training.die.je.gaat.volgen.,Aan.welke.onderdelen.denk.jij.het.meest.te.hebben.om.jouw.doelen.te.bereiken.,Kun.je.toelichten.waarom.je...field.a3329bb5.67ab.418c.a388.237285d8ecda...hebt.gekozen.,Wat.is.je.maandelijkse.omzet.,Welk.deel.van.je.omzet.verdien.je.met.je.creatieve.activiteiten.,In.de.komende.12.maanden.wil.ik.praktische.experimenten.doen.om.oplossingen.te.bedenken.voor.mijn.klanten.en.opdrachtgevers...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.prototype.te.ontwikkelen.voor.een.product.of.dienst...,In.de.komende.12.maanden.ben.ik.van.plan.om.een.waardepropositie.te.ontwikkelen...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.waardepropositie.te.testen.in.de.markt...,In.de.komende.12.maanden.ben.ik.van.plan.om.te.stoppen.met.mijn..bij.baan.of.veel.minder.tijd.aan.mijn..bij.baan.te.spenderen..zodat.ik.me.kan.focussen.op.mijn.onderneming...,In.de.komende.12.maanden.ben.ik.van.plan.om.mijn.eigen.geld.in.mijn.onderneming.te.investeren...,In.de.komende.12.maanden.ben.ik.van.plan.om.een..extra..zakelijke.bankrekening.te.openen.....,In.de.komende.12.maanden.ben.ik.van.plan.om.dure.apparatuur.aan.te.schaffen.voor.mijn.onderneming.....,In.de.komende.12.maanden.ben.ik.van.plan.om.te.zoeken.naar.financiering.voor.mijn.plannen......,Ik.herken.altijd.kansen,Ik.ben.creatief,Ik.kan.goed.problemen.oplossen,Ik.ben.een.goede.leider,Het.is.makkelijk.om.met.anderen.te.communiceren,Ik.heb.altijd.nieuwe.ideeën,Ik.maak.makkelijk.contact,Ik.heb.zelfvertrouwen,Ik.heb.analytisch.vermogen,Ik.ben.optimistisch,Ik.hou.van.authenticiteit..bij.jezelf.blijven.,Ik.ben.doelgericht,Ik.ben.daadkrachtig,Ik.ben.nieuwsgierig,Ik.heb.discipline,Ik.heb.sociaal.adaptatievermogen,Ik.ben.communicatief,Ik.ben.efficiënt,Ik.heb.verantwoordelijkheidsgevoel,Ik.heb.doorzettingsvermogen,Ik.heb.zelfkennis,Ik.heb.empatisch.vermogen,Ik.ben.goed.in.leiderschap,Ik.ben.stressbestendig,Ik.doe.altijd.goed.mijn.best..ook.wanneer.het.moeilijk.is,Ik.stop.veel.energie.in.het.verbeteren.van.mijn..werk.resultaten,Ik.probeer.altijd.extra.verantwoordelijkheden.te.nemen,Ik.probeer.betere.resultaten.te.halen.dan.mijn.vakgenoten,Als.ik.plannen.maak.weet.ik.zeker.dat.ze.werken,Als.ik.iets.goed.doe..komt.dat.door.mijn.vaardigheden.en.niet.door.geluk,Wat.mij.overkomt.komt.door.mijn.eigen.gedrag,Veel.ongelukkige.gebeurtenissen.in.het.leven.van.een.persoon.komen.door.pech.,Een.goede..creatieve..business.hebben.komt.voornamelijk.door.op.het.juiste.moment.op.de.juiste.plek.te.zijn,Soms.heb.ik.het.idee.dat.ik.niet.genoeg.controle.heb.over.mijn.leven,Niets.is.interessanter.dan.leven.onder.steeds.veranderende.omstandigheden,Innovatieve.mensen.en.mensen.die.risico.s.nemen.bereiken.meer.in.het.leven.dan.geordende.mensen,Als.je.echt.wilt.genieten.van.je.vakantie..moet.je.deze.goed.plannen,Hetzelfde.doen.op.dezelfde.plek.voor.een.lange.periode.leidt.tot.een.gelukkig.leven,Start.Date..UTC.,Submit.Date..UTC.,Network.ID,Tags
WerktuigPPO |  FebMar,tlj01ng3uy4p1tlj0mzkhw62bnketkdw,Ja,Interieurarchitect en lichtontwerper,lichtontwerp,"Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik een gebrek aan zakelijke kennis heb,Anders",4,6,5,0,,NA,,,€ 4.500 - € 5.000,70,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Neutraal,Niet mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,2022-05-10 07:19:41,2022-05-10 07:33:27,f9c9240230,NA
WerktuigPPO |  FebMar,90lopfvzeq2psulha3u90lopfvk1w8qy,Ja,Illustrator,Workshops,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Anders",8,4,7,0,,NA,,,€ 1.000 - € 1.500,30,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Niet mee eens,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Mee eens,Neutraal,Niet mee eens,Neutraal,2022-05-10 06:53:42,2022-05-10 07:05:46,9ee058dc45,NA
WerktuigPPO |  FebMar,z9vvya14r67btg8yz9v030os4dv9c9kl,Ja,Portret Fotograaf,Fotograferen,"Om mijn omzet te vergroten,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,3,7,0,,NA,,,€ 4.000 - € 4.500,100,Neutraal,Mee eens,Neutraal,Niet mee eens,Niet mee eens,Neutraal,Neutraal,Mee eens,Niet mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Niet mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Niet mee eens,Helemaal niet mee eens,2022-05-10 06:32:53,2022-05-10 06:40:34,bae764a349,NA
WerktuigPPO |  FebMar,43f0f81pvgyk43i39d9fw4zdpjj60uue,Ja,Designer,Concept design,"Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",10,4,9,0,,NA,,,€ 2.500 - € 3.000,100,Neutraal,Niet mee eens,Mee eens,Mee eens,Helemaal niet mee eens,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Helemaal mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens,Neutraal,Niet mee eens,Neutraal,Neutraal,Niet mee eens,Neutraal,Neutraal,Niet mee eens,Mee eens,Niet mee eens,2022-05-10 06:30:04,2022-05-10 06:39:21,f2005bf66c,NA
WerktuigPPO |  FebMar,m5de6stvjtzhxm9ahm5d2c33t7cr40wb,Ja,Kunstenaar en illustrator,"Kunstwerken, illustraties en tekentours","Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn omzet te vergroten,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Anders",7,5,6,0,,NA,,,Minder dan €1.000,100,Mee eens,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,2022-05-09 14:05:36,2022-05-09 14:12:53,5e934738b4,NA
WerktuigPPO |  FebMar,hn6w5ndzgw3c3hbaxhn6w5nj15w50q63,Ja,Tekstschrijver,teksten schrijven,"Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn omzet te vergroten,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Anders",8,2,5,0,,NA,,,€ 1.500 - € 2.000,100,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Niet mee eens,Helemaal niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal niet mee eens,2022-05-09 11:37:32,2022-05-09 11:45:29,0ebda24039,NA
WerktuigPPO |  FebMar,41r0di8y9yig51d22k41r0di87vni4ln,Ja,Designer en coach,Designen,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik een (fulltime) creatieve professional wil worden,Anders",8,7,8,0,,NA,,,€ 4.000 - € 4.500,80,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Neutraal,Mee eens,Helemaal niet mee eens,Helemaal niet mee eens,2022-05-09 11:05:41,2022-05-09 11:12:42,d97033771a,NA
WerktuigPPO |  FebMar,n25pkyh5nx6be54zlul6n25pkyt58uks,Ja,Interieurontwerper,interieuradvies,"Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Anders",10,7,6,0,,NA,,,€ 1.500 - € 2.000,100,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Niet mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,,Neutraal,Mee eens,Neutraal,Neutraal,Neutraal,2022-05-06 08:58:47,2022-05-06 09:06:58,45eeda996f,NA
WerktuigPPO |  FebMar,tncs19dzwxibhb845p2r8tncs19hifyx,Ja,Zanger,Zingen,"Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",6,8,9,0,,NA,,,Meer dan € 5.000,80,Neutraal,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Niet mee eens,2022-05-05 09:42:09,2022-05-05 09:53:37,4ac5574eae,NA
WerktuigPPO |  FebMar,7auv3dp1zvxmokjfohs67auv3dpnch5h,Ja,Illustrator,Productverkoop,"Om mijn omzet te vergroten,Om mijn ondernemerschapsvaardigheden te verbeteren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Om mijn bestaande creatieve onderneming beter te leren managen,Om mijn persoonlijke vaardigheden te verbeteren,Omdat ik een gebrek aan zakelijke kennis heb,Om mezelf meer als ondernemer te profileren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik een (fulltime) creatieve professional wil worden,Anders",7,1,4,0,,NA,,,Minder dan €1.000,95,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Mee eens,Helemaal niet mee eens,Niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Mee eens,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Neutraal,Mee eens,Neutraal,Niet mee eens,Niet mee eens,Neutraal,Mee eens,Helemaal niet mee eens,Niet mee eens,2022-05-04 10:51:28,2022-05-04 11:02:37,298f1a3271,NA
WerktuigPPO |  FebMar,6tpwwxhkbkr9gcfz06tpwh2t2qe4f9vf,Ja,Tekstschrijver,Schrijven,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een gebrek aan zakelijke kennis heb,Anders",8,3,8,0,,NA,,,Minder dan €1.000,75,Mee eens,Neutraal,Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Helemaal niet mee eens,Niet mee eens,Niet mee eens,Mee eens,Neutraal,Neutraal,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens,Neutraal,Helemaal mee eens,Niet mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal niet mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Niet mee eens,Mee eens,Helemaal niet mee eens,Niet mee eens,Neutraal,,2022-05-04 07:56:39,2022-05-04 08:07:16,3db91eec7e,NA
WerktuigPPO |  FebMar,vn0sov5u16lubh67obo4noevn0sov5u2,Ja,ontwerper,ontwerpen en ontwikkelen van meubels,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik de waarde van mijn creativiteit wil bepalen,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mezelf meer als ondernemer te profileren,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik een gebrek aan zakelijke kennis heb,Anders",3,7,1,1,communicatie en presentatie,10,Concrete problemen oplossen,naamsbekendheid genereren,€ 1.500 - € 2.000,80,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Niet mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Mee eens,Niet mee eens,2022-05-04 06:22:08,2022-05-04 06:35:18,d57bbe9729,NA
WerktuigPPO |  FebMar,lbnavm1g45q2n6flbnav06usje973c1d,Ja,Interieurarchitect,Winkelinrichting,"Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Om mijn omzet te vergroten,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik een (fulltime) creatieve professional wil worden,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",8,3,6,0,,NA,,,€ 4.500 - € 5.000,80,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Niet mee eens,Niet mee eens,Niet mee eens,Neutraal,Niet mee eens,Niet mee eens,2022-05-03 19:07:52,2022-05-03 19:19:04,14ef1845be,NA
WerktuigPPO |  FebMar,0vcgmbia00kn5buhv0vcb5492l44oswe,Ja,Beeldend kunstenaar,met mijn bijbaan,"Omdat ik een (fulltime) creatieve professional wil worden,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Om mijn persoonlijke vaardigheden te verbeteren,Om mezelf meer als ondernemer te profileren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Om mijn bestaande creatieve onderneming beter te leren managen,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",3,6,10,0,,NA,,,Minder dan €1.000,1,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal niet mee eens,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Niet mee eens,Helemaal mee eens,Neutraal,Niet mee eens,Niet mee eens,Mee eens,Helemaal mee eens,Mee eens,Niet mee eens,Niet mee eens,2022-05-03 17:40:10,2022-05-03 17:49:20,a8204e5157,NA
WerktuigPPO |  FebMar,ksfxsyh18h9knkwhatboksfxsy1a4ier,Ja,Interieurontwerper,Interieur ontwerpen,"Om mijn persoonlijke vaardigheden te verbeteren,Om mijn ondernemerschapsvaardigheden te verbeteren,Om mijn omzet te vergroten,Omdat ik een (fulltime) creatieve professional wil worden,Om mijn bestaande creatieve onderneming beter te leren managen,Om mezelf meer als ondernemer te profileren,Omdat ik het moeilijk vind mezelf commercieel te exploiteren,Omdat ik een gebrek aan zakelijke kennis heb,Omdat ik teveel tijd kwijt ben aan zakelijke dingen ten koste van mijn creativiteit,Omdat ik te weinig tijd heb voor het ontwikkelen van een lange termijn strategie,Omdat ik de waarde van mijn creativiteit wil bepalen,Anders",3,9,2,0,,NA,,,€ 1.000 - € 1.500,80,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Neutraal,Mee eens,Neutraal,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Mee eens,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Neutraal,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Niet mee eens,Niet mee eens,2022-05-03 16:14:00,2022-05-03 16:27:03,84fc50a120,NA
